name,prompt,negative_prompt
※黄歩鈴（私服その1）,"fong pudding,blonde hair,brown hair,short hair,hair flaps,twintails,twin braids,two side up,brown eyes,yellow eyes,eyebrows visible through hair,eyelashes,blue overalls,pink shirt,t-shirt,overall shorts,denim shorts,suspender shorts,white legwear,loose socks,white socks,green footwear",""
※黄歩鈴（私服その2）,"fong pudding,blonde hair,brown hair,short hair,hair flaps,twintails,twin braids,two side up,brown eyes,yellow eyes,eyebrows visible through hair,eyelashes,white shirt,striped shirt,cropped shirt,suspender skirt,blue pants,denim,blue legwear,yellow footwear,midriff",""
※黄歩鈴（私服その3）,"fong pudding,blonde hair,brown hair,short hair,hair flaps,twintails,twin braids,two side up,brown eyes,yellow eyes,eyebrows visible through hair,eyelashes,yellow hoodie,long sleeves,hood down,drawstring,grey skirt,pencil skirt,miniskirt,black socks,black footwear,sneakers",""
※黄歩鈴（カフェミュウミュウ制服）,"fong pudding,waitress,blonde hair,brown hair,short hair,hair flaps,twintails,twin braids,brown eyes,yellow eyes,eyebrows visible through hair,orange dress,frilled dress,orange skirt,pleated skirt,puffy short sleeves,maid headdress,hair ribbon,yellow ribbon,maid apron,white apron,frilled apron,yellow neckwear,yellow bowtie,yellow bow,frills,yellow socks,black footwear,boots",""
※ミュウザクロ（変身）,"mew zakuro,purple hair,blunt bangs,ponytail,sidelocks,very long hair,purple eyes,blue eyes,eyelashes,wolf ears,animal ear fluff,pink bow,hair bow,strapless,crop top,bandeau,tube top,brooch,pink choker,purple neckwear,purple bowtie,puffy detached sleeves,arm garter,wrist cuffs,short shorts,purple shorts,bridal garter,wolf tail,purple footwear,thigh boots,bare shoulders,navel,midriff",""
※藤原ざくろ（私服その1）,"fujiwara zakuro,purple hair,blunt bangs,sidelocks,hime cut,straight hair,long hair,blue eyes,purple eyes,eyelashes,brown jacket,open jacket,cropped jacket,turtleneck,black shirt,black pants,high-waist pants,torn pants,knee boots,black footwear,necklace,midriff",""
※藤原ざくろ（私服その2）,"fujiwara zakuro,purple hair,blunt bangs,sidelocks,hime cut,straight hair,long hair,blue eyes,purple eyes,eyelashes,white shirt,blouse,sleeveless shirt,collarbone,grey skirt,high-waist skirt,long skirt,side slit,black footwear,ankle boots",""
※藤原ざくろ（私服その3）,"fujiwara zakuro,purple hair,blunt bangs,sidelocks,hime cut,straight hair,long hair,blue eyes,purple eyes,eyelashes,green shirt,tied shirt,puffy short sleeves,collarbone,midriff,pants,denim,jeans,yellow belt,sneakers,black footwear",""
※藤原ざくろ（カフェミュウミュウ制服）,"fujiwara zakuro,waitress,purple hair,blunt bangs,sidelocks,hime cut,straight hair,long hair,blue eyes,purple eyes,eyelashes,purple dress,frilled dress,purple skirt,pleated skirt,puffy short sleeves,maid headdress,hair ribbon,pink ribbon,maid apron,white apron,frilled apron,pink bowtie,purple neckwear,frills,pink socks,black footwear,boots",""
"キュアブラック","cure black,misumi nagisa \(precure\),precure costume",""
"キュアホワイト","cure white,yukishiro honoka \(precure\),precure costume",""
"キュアブルーム","cure bloom,hyuga saki \(precure\),precure costume",""
"キュアイーグレット","cure egret,mishou mai \(precure\),precure costume",""
"キュアドリーム","cure dream,yumehara nozomi \(precure\),precure costume",""
"キュアルージュ","cure rouge,natsuki rin \(precure\),precure costume",""
"キュアレモネード","cure lemonade,kasugano urara \(precure\),precure costume",""
"キュアミント","cure mint,akimoto komachi \(precure\),precure costume",""
"キュアアクア","cure aqua,minazuki karen \(precure\),precure costume",""
"キュアピーチ","cure peach,momozono love \(precure\),precure costume",""
"キュアベリー","cure berry,aono miki \(precure\),precure costume",""
"キュアパイン","cure pine,yamabuki inori \(precure\),precure costume",""
"キュアパッション","cure passion,higashi setsuna \(precure\),precure costume",""
"キュアブロッサム","cure blossom,hanasaki tsubomi \(precure\),precure costume",""
"キュアマリン","cure marine,kurumi erika \(precure\),precure costume",""
"キュアサンシャイン","cure sunshine,myodoin itsuki \(precure\),precure costume",""
"キュアムーンライト","cure moonlight,tsukikage yuri \(precure\),precure costume",""
"キュアメロディ","cure melody,hojo hibiki \(precure\),precure costume",""
"キュアリズム","cure rhythm,minamino kanade \(precure\),precure costume",""
"キュアビート","cure beat,kurokawa ellen \(precure\),precure costume",""
"キュアミューズ","cure muse,ako shirabe \(precure\),precure costume",""
"キュアハッピー","cure happy,hoshizora miyuki \(precure\),precure costume",""
"キュアサニー","cure sunny,hino akane \(precure\),precure costume",""
"キュアピース","cure peace,kise yayoi \(precure\),precure costume",""
"キュアマーチ","cure march,midorikawa nao \(precure\),precure costume",""
"キュアビューティ","cure beauty,aoki reika \(precure\),precure costume",""
"キュアハート","cure heart,aida mana \(precure\),precure costume",""
"キュアダイヤモンド","cure diamond,hishikawa rikka \(precure\),precure costume",""
"キュアロゼッタ","cure rosetta,yotsuba alice \(precure\),precure costume",""
"キュアソード","cure sword,kenzaki makoto \(precure\),precure costume",""
"キュアエース","cure ace,aguri madoka \(precure\),precure costume",""
"キュアラブリー","cure lovely,aikatsu megumi \(precure\),precure costume",""
"キュアプリンセス","cure princess,shirayuki hime \(precure\),precure costume",""
"キュアハニー","cure honey,yuko omori \(precure\),precure costume",""
"キュアフォーチュン","cure fortune,hikawa iona \(precure\),precure costume",""
"キュアフローラ","cure flora,haruno haruka \(precure\),precure costume",""
"キュアマーメイド","cure mermaid,kaido minami \(precure\),precure costume",""
"キュアトゥインクル","cure twinkle,amano kirara \(precure\),precure costume",""
"キュアスカーレット","cure scarlet,towa akagi \(precure\),precure costume",""
"キュアミラクル","cure miracle,asahina mirai \(precure\),precure costume",""
"キュアマジカル","cure magical,izayoi riko \(precure\),precure costume",""
"キュアフェリーチェ","cure felice,hanami kotoha \(precure\),precure costume",""
"キュアホイップ","cure whip,usami ichika \(precure\),precure costume",""
"キュアカスタード","cure custard,arisugawa himari \(precure\),precure costume",""
"キュアジェラート","cure gelato,tateyama aoi \(precure\),precure costume",""
"キュアマカロン","cure macaron,kotozume yukari \(precure\),precure costume",""
"キュアショコラ","cure chocolat,kenjo akira \(precure\),precure costume",""
"キュアパルフェ","cure parfait,kirakira ciel \(precure\),precure costume",""
"キュアエール","cure yell,nono hana \(precure\),precure costume",""
"キュアアンジュ","cure ange,yakushiji saaya \(precure\),precure costume",""
"キュアエトワール","cure etoile,kagayaki homare \(precure\),precure costume",""
"キュアマシェリ","cure macherie,aisaki emiru \(precure\),precure costume",""
"キュアアムール","cure amour,ruru amour \(precure\),precure costume",""
"キュアスター","cure star,hoshina hikaru \(precure\),precure costume",""
"キュアミルキー","cure milky,hagoromo lala \(precure\),precure costume",""
"キュアソレイユ","cure soleil,amakawa elena \(precure\),precure costume",""
"キュアセレーネ","cure selene,kaguya madoka \(precure\),precure costume",""
"キュアコスモ","cure cosmo,yuni \(precure\),precure costume",""
"キュアグレース","cure grace,hanadera nodoka \(precure\),precure costume",""
"キュアフォンテーヌ","cure fontaine,sawaizumi chiyu \(precure\),precure costume",""
"キュアスパークル","cure sparkle,hiraoka hinata \(precure\),precure costume",""
"キュアアース","cure earth,fuurin asumi \(precure\),precure costume",""
"キュアサマー","cure summer,natsuumi manatsu \(precure\),precure costume",""
"キュアコーラル","cure coral,suzumura sango \(precure\),precure costume",""
"キュアパパイア","cure papaya,ichinose minori \(precure\),precure costume",""
"キュアフラミンゴ","cure flamingo,takizawa asuka \(precure\),precure costume",""
"キュアラメール","cure la mer,laura \(precure\),precure costume",""
"キュアプレシャス","cure precious,nagomi yui \(precure\),precure costume",""
"キュアスパイシー","cure spicy,fuwa kokone \(precure\),precure costume",""
"キュアヤムヤム","cure yum-yum,hanamichi ran \(precure\),precure costume",""
"キュアフィナーレ","cure finale,kasai amane \(precure\),precure costume",""
"キュアスカイ","cure sky,sora harewataru \(precure\),precure costume",""
"キュアプリズム","cure prism,nijigaoka mashiro \(precure\),precure costume",""
"キュアウィング","cure wing,tsubasa yuunagi \(precure\),precure costume",""
"キュアバタフライ","cure butterfly,hijiri ageha \(precure\),precure costume",""
"セーラームーン","sailor moon,tsukino usagi",""
"セーラーマーキュリー","sailor mercury,mizuno ami",""
"セーラーマーズ","sailor mars,hino rei",""
"セーラージュピター","sailor jupiter,kino makoto",""
"セーラーヴィーナス","sailor venus,aino minako",""
"セーラーちびムーン","sailor chibi moon,chibi usa",""
"セーラーウラヌス","sailor uranus,tenoh haruka",""
"セーラーネプチューン","sailor neptune,kaiou michiru",""
"セーラープルート","sailor pluto,meiou setsuna",""
"セーラーサターン","sailor saturn,tomoe hotaru",""
"セーラースター ファイター","sailor star fighter,kou seiya",""
"セーラースター メイカー","sailor star maker,kou taiki",""
"セーラースター ヒーラー","sailor star healer,kou yaten",""
"セーラーコスモス","sailor cosmos",""
"※リルスティア","rinlilustea,mahoutouki,magical girl,medium breasts,thigh strap,pink hair,ahoge,long hair,ponytail,hair bow,thick eyebrows,blue eyes,white pupils",""
"※リルスティア（変身前）","rinlilustea,purple hair,long hair,ahoge,thick eyebrows,blue eyes,shirt,long sleeves,sailor collar,yellow necktie,school uniform,",""
"※ユニ","mgyunishirakawa,magical girl,pink hair,high ponytail,hair flaps,hair bow,yellow eyes,choker,bowtie,brooch,frilled dress,medium breasts,cleavage,detached sleeves,bare shoulders,puffy short sleeves,bracer,frilled wrist cuffs,back ribbon,bridal garter",""
"麻宮アテナ","asamiya athena \(the king of fighters\),",""
"不知火舞","shiranui mai \(the king of fighters\)",""
"ワルキューレ","valkyrie no densetsu,valkyrie (vnd),long hair,braid,white skirt,",""
"アイオワ","iowa \(kancolle\)",""
"アリゾナ","arizona \(kancolle\)",""
"伊勢","ise \(kancolle\)",""
"金剛","kongou \(kancolle\)",""
"比叡","hiei \(kancolle\)",""
"榛名","haruna \(kancolle\)",""
"霧島","kirishima \(kancolle\)",""
"長門","nagato \(kancolle\)",""
"陸奥","mutsu \(kancolle\)",""
"大和","yamato \(kancolle\)",""
"武蔵","musashi \(kancolle\)",""
"ビスマルク","bismarck \(kancolle\)",""
"ウォースパイト","warspite \(kancolle\)",""
"リットリオ","littorio \(kancolle\)",""
"ローマ","roma \(kancolle\)",""
"赤城","akagi \(kancolle\)",""
"加賀","kaga \(kancolle\)",""
"瑞鶴","zuikaku \(kancolle\)",""
"瑞鳳","zuihou \(kancolle\)",""
"グラーフ・ツェッペリン","graf zeppelin \(kancolle\)",""
"サラトガ","saratoga \(kancolle\)",""
"アーク・ロイヤル","ark royal \(kancolle\)",""
"龍驤","ryuujou \(kancolle\)",""
"飛龍","hiryu \(kancolle\)",""
"蒼龍","souryuu \(kancolle\)",""
"熊野","kumano \(kancolle\)",""
"鈴谷","suzumiya \(kancolle\)",""
"ザラ","zara \(kancolle\)",""
"ポーラ","pola \(kancolle\)",""
"プリンツ・オイゲン","prinz eugen \(kancolle\)",""
"最上","mogami \(kancolle\)",""
"三隈","mikuma \(kancolle\)",""
"利根","tone \(kancolle\)",""
"筑摩","chikuma \(kancolle\)",""
"妙高","myoukou \(kancolle\)",""
"那智","nachi \(kancolle\)",""
"足柄","ashigara \(kancolle\)",""
"羽黒","haguro \(kancolle\)",""
"摩耶","maya \(kancolle\)",""
"鳥海","choukai \(kancolle\)",""
"阿武隈","abukuma \(kancolle\)",""
"酒匂","sakawa \(kancolle\)",""
"香取","katori \(kancolle\)",""
"鹿島","kashima \(kancolle\)",""
"大井","ooi \(kancolle\)",""
"川内","sendai \(kancolle\)",""
"神通","jintsuu \(kancolle\)",""
"那珂","naka \(kancolle\)",""
"暁","akatsuki \(kancolle\)",""
"秋月","akizuki \(kancolle\)",""
"天津風","amakaze \(kancolle\)",""
"嵐","arashi \(kancolle\)",""
"綾波","ayanami \(kancolle\)",""
"吹雪","fubuki \(kancolle\)",""
"浜風","hamakaze \(kancolle\)",""
"比叡","hiei \(kancolle\)",""
"響","hibiki \(kancolle\)",""
"磯風","isokaze \(kancolle\)",""
"雷","ikazuchi \(kancolle\)",""
"電","inazuma \(kancolle\)",""
"神風","kamikaze \(kancolle\)",""
"江風","kawakaze \(kancolle\)",""
"望月","mochizuki \(kancolle\)",""
"叢雲","murakumo \(kancolle\)",""
"村雨","murasame \(kancolle\)",""
"長波","naganami \(kancolle\)",""
"親潮","oyashio \(kancolle\)",""
"島風","shimakaze \(kancolle\)",""
"時雨","shigure \(kancolle\)",""
"時津風","tokitsukaze \(kancolle\)",""
"卯月","uzuki \(kancolle\)",""
"雪風","yukikaze \(kancolle\)",""
"夕立","yuudachi \(kancolle\)",""
"潮","ushio \(kancolle\)",""
"フレッチャー","fletcher \(kancolle\)",""
"ジョンストン","johnston \(kancolle\)",""
"サミュエル・B・ロバーツ","samuel b roberts \(kancolle\)",""
"Z1 レーベレヒト・マース","z1 leberecht maass \(kancolle\)",""
"Z3 マックス・シュルツ","z3 max schultz \(kancolle\)",""
"リベッチオ","libeccio \(kancolle\)",""
"マエストラーレ","maestrale \(kancolle\)",""
"グレカーレ","grecale \(kancolle\)",""
"ジャーヴィス","jervis \(kancolle\)",""
"ジャナス","janus \(kancolle\)",""
"タシュケント","tashkent \(kancolle\)",""
"伊19","i-19 \(kancolle\)",""
"伊26","i-26 \(kancolle\)",""
"伊58","i-58 \(kancolle\)",""
"伊168","i-168 \(kancolle\)",""
"伊8","i-8 \(kancolle\)",""
"伊13","i-13 \(kancolle\)",""
"伊14","i-14 \(kancolle\)",""
